arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
1	1	0.5	404	0.934	187060	15	0	1
1	1	0.5	405	1.034	201724	15	0	1
1	1	0.5	406	1	192136	15	0	1
1	1	0.5	407	0.867	193452	15	0	1
1	1	0.5	408	0.834	186872	15	0	1
1	1	0.5	409	1	196836	15	0	1
1	1	0.5	410	0.9	187624	15	0	1
1	1	0.5	411	0.868	186308	15	0	1
1	1	0.5	412	1.034	196272	15	0	1
1	1	0.5	413	1.034	189504	15	0	1
1	1	0.5	414	0.834	176156	15	0	1
1	1	0.5	416	0.8	188752	15	0	1
1	1	0.5	417	0.766	181796	15	0	1
1	1	0.5	419	1.001	193452	15	0	1
1	1	0.5	420	1.034	201536	15	0	1
1	1	0.5	421	1.067	201348	15	0	1
1	1	0.5	422	0.901	188188	15	0	1
1	1	0.5	423	0.867	184240	15	0	1
1	1	0.5	424	0.834	182736	15	0	1
1	1	0.5	425	1.034	191196	15	0	1
1	1	0.5	426	1.001	193076	15	0	1
1	1	0.5	427	1.001	197776	15	0	1
1	1	0.5	428	1.101	203228	15	0	1
1	1	0.5	429	0.834	186684	15	0	1
1	1	0.5	430	1.134	202852	15	0	1
1	1	0.5	431	0.967	186872	15	0	1
1	1	0.5	432	1.1	188752	15	0	1
1	1	0.5	433	1.067	194392	15	0	1
1	1	0.5	434	1.001	184240	15	0	1
1	1	0.5	435	0.834	175592	15	0	1
1	1	0.5	437	0.934	194204	15	0	1
1	1	0.5	439	0.768	180480	15	0	1
1	1	0.5	440	0.766	179540	15	0	1
1	1	0.5	441	0.901	193264	15	0	1
1	1	0.5	443	0.866	182360	15	0	1
1	1	0.5	444	0.901	184804	15	0	1
1	1	0.5	446	0.768	172960	15	0	1
1	1	0.5	447	0.933	182736	15	0	1
1	1	0.5	448	1.134	194392	15	0	1
1	1	0.5	450	0.868	188752	15	0	1
1	1	0.5	451	0.733	176156	15	0	1
1	1	0.5	453	0.7	181608	15	0	1
