arm	mode	kind	code	ms
a02-8-spread	spread	miss	404	494
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	586
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	462
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	467
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	500
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	401
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	536
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	499
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	337
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	628
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	469
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	685
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	379
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	526
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	335
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	468
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	531
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	393
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	359
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	388
a02-8-spread	spread	hit	200	7
a02-8-spread	spread	miss	404	535
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	520
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	417
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	458
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	338
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	524
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	311
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	182
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	584
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	177
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	355
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	543
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	401
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	317
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	393
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	530
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	487
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	556
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	592
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	509
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	480
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	395
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	376
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	467
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	612
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	243
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	385
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	456
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	372
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	465
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	575
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	255
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	547
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	450
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	464
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	434
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	475
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	350
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	401
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	391
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	492
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	567
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	193
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	582
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	477
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	385
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	504
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	479
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	573
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	461
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	209
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	468
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	470
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	522
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	357
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	429
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	371
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	351
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	444
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	542
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	293
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	507
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	395
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	558
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	458
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	497
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	462
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	538
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	412
